task_id	name	status	exit	time	realtime
181	run_methods (method: thresholding; grid row: 10)	COMPLETED	0	2m 15s	1.1s
185	run_methods (method: thresholding; grid row: 11)	COMPLETED	0	2m 15s	1.2s
184	run_methods (method: em; grid row: 11)	FAILED	1	6m	16ms
187	run_methods (method: thresholding; grid row: 11)	COMPLETED	0	2m 15s	1.1s
189	run_methods (method: thresholding; grid row: 11)	COMPLETED	0	2m 15s	1.3s
14	generate_data (grid row: 14)	COMPLETED	0	7m 15s	542ms
51	run_methods (method: thresholding; grid row: 2)	COMPLETED	0	2m 15s	1s
123	run_methods (method: thresholding; grid row: 8)	COMPLETED	0	2m 15s	1s
135	run_methods (method: em; grid row: 7)	FAILED	1	6m	1ms
142	run_methods (method: em; grid row: 7)	FAILED	1	6m	2ms
154	run_methods (method: em; grid row: 9)	FAILED	1	6m	2ms
158	run_methods (method: em; grid row: 9)	FAILED	1	6m	12ms
176	run_methods (method: em; grid row: 10)	FAILED	1	6m	5s
175	run_methods (method: thresholding; grid row: 10)	COMPLETED	0	2m 15s	1.3s
183	run_methods (method: thresholding; grid row: 11)	COMPLETED	0	2m 15s	1.1s
192	run_methods (method: em; grid row: 11)	FAILED	1	6m	5s
52	run_methods (method: em; grid row: 2)	FAILED	1	6m	50s
138	run_methods (method: em; grid row: 7)	FAILED	1	6m	12ms
178	run_methods (method: em; grid row: 10)	FAILED	1	6m	4.9s
194	run_methods (method: em; grid row: 12)	FAILED	1	6m	12ms
16	generate_data (grid row: 16)	COMPLETED	0	7m 15s	574ms
159	run_methods (method: thresholding; grid row: 9)	COMPLETED	0	2m 15s	1.3s
179	run_methods (method: thresholding; grid row: 10)	COMPLETED	0	2m 15s	1.2s
182	run_methods (method: em; grid row: 10)	FAILED	1	6m	5s
196	run_methods (method: thresholding; grid row: 12)	COMPLETED	0	2m 15s	1.2s
198	run_methods (method: em; grid row: 12)	FAILED	1	6m	7ms
208	run_methods (method: em; grid row: 13)	FAILED	1	6m	2ms
212	run_methods (method: em; grid row: 13)	FAILED	1	6m	2ms
214	run_methods (method: em; grid row: 15)	FAILED	1	6m	2ms
224	run_methods (method: em; grid row: 17)	FAILED	1	6m	2ms
226	run_methods (method: thresholding; grid row: 17)	COMPLETED	0	2m 15s	1.3s
225	run_methods (method: em; grid row: 17)	FAILED	1	6m	13ms
223	run_methods (method: thresholding; grid row: 17)	COMPLETED	0	2m 15s	1.6s
228	run_methods (method: em; grid row: 17)	FAILED	1	6m	9ms
229	run_methods (method: thresholding; grid row: 17)	COMPLETED	0	2m 15s	1.3s
232	run_methods (method: em; grid row: 17)	FAILED	1	6m	12ms
20	generate_data (grid row: 20)	COMPLETED	0	7m 15s	527ms
53	run_methods (method: thresholding; grid row: 5)	COMPLETED	0	2m 15s	1s
134	run_methods (method: thresholding; grid row: 7)	COMPLETED	0	2m 15s	1.1s
160	run_methods (method: em; grid row: 9)	FAILED	1	6m	8ms
180	run_methods (method: em; grid row: 10)	FAILED	1	6m	14ms
186	run_methods (method: em; grid row: 11)	FAILED	1	6m	19ms
195	run_methods (method: em; grid row: 12)	FAILED	1	6m	1ms
200	run_methods (method: em; grid row: 12)	FAILED	1	6m	15ms
204	run_methods (method: thresholding; grid row: 13)	COMPLETED	0	2m 15s	1.5s
218	run_methods (method: em; grid row: 15)	FAILED	1	6m	2ms
219	run_methods (method: thresholding; grid row: 15)	COMPLETED	0	2m 15s	1.6s
227	run_methods (method: thresholding; grid row: 17)	COMPLETED	0	2m 15s	1.2s
230	run_methods (method: em; grid row: 17)	FAILED	1	6m	4.7s
18	generate_data (grid row: 18)	COMPLETED	0	7m 15s	532ms
54	run_methods (method: em; grid row: 5)	FAILED	1	6m	1m 5s
137	run_methods (method: thresholding; grid row: 7)	COMPLETED	0	2m 15s	1.2s
161	run_methods (method: thresholding; grid row: 9)	COMPLETED	0	2m 15s	1.3s
193	run_methods (method: thresholding; grid row: 12)	COMPLETED	0	2m 15s	1.2s
197	run_methods (method: thresholding; grid row: 12)	COMPLETED	0	2m 15s	1.1s
207	run_methods (method: thresholding; grid row: 13)	COMPLETED	0	2m 15s	1.2s
209	run_methods (method: thresholding; grid row: 13)	COMPLETED	0	2m 15s	1.4s
215	run_methods (method: thresholding; grid row: 15)	COMPLETED	0	2m 15s	1.4s
220	run_methods (method: em; grid row: 15)	FAILED	1	6m	5s
233	run_methods (method: thresholding; grid row: 19)	COMPLETED	0	2m 15s	1.1s
203	run_methods (method: em; grid row: 13)	FAILED	1	6m	9.9s
211	run_methods (method: thresholding; grid row: 13)	COMPLETED	0	2m 15s	1.2s
213	run_methods (method: thresholding; grid row: 15)	COMPLETED	0	2m 15s	1.5s
217	run_methods (method: thresholding; grid row: 15)	COMPLETED	0	2m 15s	1.3s
222	run_methods (method: em; grid row: 15)	FAILED	1	6m	10.1s
231	run_methods (method: thresholding; grid row: 17)	COMPLETED	0	2m 15s	1.2s
235	run_methods (method: thresholding; grid row: 19)	COMPLETED	0	2m 15s	1.3s
242	run_methods (method: em; grid row: 19)	FAILED	1	6m	2ms
246	run_methods (method: em; grid row: 14)	FAILED	1	6m	1ms
262	run_methods (method: em; grid row: 16)	FAILED	1	6m	1ms
266	run_methods (method: em; grid row: 20)	FAILED	1	6m	13ms
21	generate_data (grid row: 21)	COMPLETED	0	7m 15s	890ms
162	run_methods (method: em; grid row: 9)	FAILED	1	6m	15.1s
199	run_methods (method: thresholding; grid row: 12)	COMPLETED	0	2m 15s	1s
216	run_methods (method: em; grid row: 15)	FAILED	1	6m	15s
234	run_methods (method: em; grid row: 19)	FAILED	1	6m	19.7s
240	run_methods (method: em; grid row: 19)	FAILED	1	6m	2ms
249	run_methods (method: thresholding; grid row: 14)	COMPLETED	0	2m 15s	1.2s
257	run_methods (method: thresholding; grid row: 16)	COMPLETED	0	2m 15s	1.1s
260	run_methods (method: em; grid row: 16)	FAILED	1	6m	4.9s
265	run_methods (method: thresholding; grid row: 20)	COMPLETED	0	2m 15s	1.1s
264	run_methods (method: em; grid row: 20)	FAILED	1	6m	5s
263	run_methods (method: thresholding; grid row: 20)	COMPLETED	0	2m 15s	1.3s
22	generate_data (grid row: 22)	COMPLETED	0	7m 15s	517ms
210	run_methods (method: em; grid row: 13)	FAILED	1	6m	19.9s
221	run_methods (method: thresholding; grid row: 15)	COMPLETED	0	2m 15s	1.5s
241	run_methods (method: thresholding; grid row: 19)	COMPLETED	0	2m 15s	1.1s
243	run_methods (method: thresholding; grid row: 14)	COMPLETED	0	2m 15s	1.1s
244	run_methods (method: em; grid row: 14)	FAILED	1	6m	2ms
254	run_methods (method: em; grid row: 16)	FAILED	1	6m	2ms
258	run_methods (method: em; grid row: 16)	FAILED	1	6m	12ms
27	generate_data (grid row: 27)	COMPLETED	0	7m 15s	581ms
205	run_methods (method: thresholding; grid row: 13)	COMPLETED	0	2m 15s	1.2s
238	run_methods (method: em; grid row: 19)	FAILED	1	6m	29.8s
247	run_methods (method: thresholding; grid row: 14)	COMPLETED	0	2m 15s	1.1s
206	run_methods (method: em; grid row: 13)	FAILED	1	6m	29.9s
236	run_methods (method: em; grid row: 19)	FAILED	1	6m	34.6s
251	run_methods (method: thresholding; grid row: 14)	COMPLETED	0	2m 15s	1.1s
259	run_methods (method: thresholding; grid row: 16)	COMPLETED	0	2m 15s	1.1s
267	run_methods (method: thresholding; grid row: 20)	COMPLETED	0	2m 15s	1.1s
269	run_methods (method: thresholding; grid row: 20)	COMPLETED	0	2m 15s	981ms
282	run_methods (method: em; grid row: 18)	FAILED	1	6m	1ms
298	run_methods (method: em; grid row: 22)	FAILED	1	6m	16ms
302	run_methods (method: em; grid row: 22)	FAILED	1	6m	2ms
23	generate_data (grid row: 23)	COMPLETED	0	7m 15s	775ms
248	run_methods (method: em; grid row: 14)	FAILED	1	6m	257ms
252	run_methods (method: em; grid row: 14)	FAILED	1	6m	2ms
261	run_methods (method: thresholding; grid row: 16)	COMPLETED	0	2m 15s	1.4s
268	run_methods (method: em; grid row: 20)	FAILED	1	6m	27ms
284	run_methods (method: thresholding; grid row: 21)	COMPLETED	0	2m 15s	1.3s
291	run_methods (method: thresholding; grid row: 21)	COMPLETED	0	2m 15s	1s
296	run_methods (method: thresholding; grid row: 22)	COMPLETED	0	2m 15s	1.3s
25	generate_data (grid row: 25)	COMPLETED	0	7m 15s	559ms
201	run_methods (method: thresholding; grid row: 12)	COMPLETED	0	2m 15s	1.1s
237	run_methods (method: thresholding; grid row: 19)	COMPLETED	0	2m 15s	1.2s
245	run_methods (method: thresholding; grid row: 14)	COMPLETED	0	2m 15s	1.2s
270	run_methods (method: em; grid row: 20)	FAILED	1	6m	4.7s
283	run_methods (method: em; grid row: 21)	FAILED	1	6m	2ms
285	run_methods (method: thresholding; grid row: 21)	COMPLETED	0	2m 15s	1s
292	run_methods (method: em; grid row: 21)	FAILED	1	6m	36ms
293	run_methods (method: em; grid row: 22)	FAILED	1	6m	2ms
299	run_methods (method: thresholding; grid row: 22)	COMPLETED	0	2m 15s	937ms
26	generate_data (grid row: 26)	COMPLETED	0	7m 15s	576ms
202	run_methods (method: em; grid row: 12)	FAILED	1	6m	45.5s
239	run_methods (method: thresholding; grid row: 19)	COMPLETED	0	2m 15s	1.2s
255	run_methods (method: thresholding; grid row: 16)	COMPLETED	0	2m 15s	1.1s
271	run_methods (method: thresholding; grid row: 20)	COMPLETED	0	2m 15s	965ms
286	run_methods (method: em; grid row: 21)	FAILED	1	6m	10ms
297	run_methods (method: thresholding; grid row: 22)	COMPLETED	0	2m 15s	1.3s
300	run_methods (method: em; grid row: 22)	FAILED	1	6m	12ms
250	run_methods (method: em; grid row: 14)	FAILED	1	6m	12ms
272	run_methods (method: em; grid row: 20)	FAILED	1	6m	1ms
295	run_methods (method: em; grid row: 22)	FAILED	1	6m	13ms
304	run_methods (method: em; grid row: 27)	FAILED	1	6m	20ms
24	generate_data (grid row: 24)	COMPLETED	0	7m 15s	659ms
287	run_methods (method: thresholding; grid row: 21)	COMPLETED	0	2m 15s	1s
294	run_methods (method: thresholding; grid row: 22)	COMPLETED	0	2m 15s	1.1s
301	run_methods (method: thresholding; grid row: 22)	COMPLETED	0	2m 15s	973ms
305	run_methods (method: thresholding; grid row: 27)	COMPLETED	0	2m 15s	1.5s
307	run_methods (method: thresholding; grid row: 27)	COMPLETED	0	2m 15s	1.6s
310	run_methods (method: em; grid row: 27)	FAILED	1	6m	5s
313	run_methods (method: thresholding; grid row: 23)	COMPLETED	0	2m 15s	986ms
325	run_methods (method: thresholding; grid row: 25)	COMPLETED	0	2m 15s	1.1s
253	run_methods (method: thresholding; grid row: 16)	COMPLETED	0	2m 15s	1.2s
274	run_methods (method: thresholding; grid row: 18)	COMPLETED	0	2m 15s	988ms
288	run_methods (method: em; grid row: 21)	FAILED	1	6m	12ms
306	run_methods (method: em; grid row: 27)	FAILED	1	6m	1ms
303	run_methods (method: thresholding; grid row: 27)	COMPLETED	0	2m 15s	1.2s
308	run_methods (method: em; grid row: 27)	FAILED	1	6m	9ms
311	run_methods (method: thresholding; grid row: 27)	COMPLETED	0	2m 15s	1.2s
316	run_methods (method: em; grid row: 23)	FAILED	1	6m	2ms
324	run_methods (method: em; grid row: 25)	FAILED	1	6m	2ms
256	run_methods (method: em; grid row: 16)	FAILED	1	6m	5s
273	run_methods (method: thresholding; grid row: 18)	COMPLETED	0	2m 15s	972ms
309	run_methods (method: thresholding; grid row: 27)	COMPLETED	0	2m 15s	1.6s
312	run_methods (method: em; grid row: 27)	FAILED	1	6m	5s
318	run_methods (method: em; grid row: 23)	FAILED	1	6m	4.9s
326	run_methods (method: em; grid row: 25)	FAILED	1	6m	5s
289	run_methods (method: thresholding; grid row: 21)	COMPLETED	0	2m 15s	1s
314	run_methods (method: em; grid row: 23)	FAILED	1	6m	9.9s
333	run_methods (method: thresholding; grid row: 26)	COMPLETED	0	2m 15s	1.1s
344	run_methods (method: thresholding; grid row: 24)	COMPLETED	0	2m 15s	1.2s
275	run_methods (method: em; grid row: 18)	FAILED	1	6m	15s
